City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
121,princeville,45.7668,-61.2985,19.22,95,100,2.06,CA,1687737537
122,hawaiian paradise park,19.5933,-154.9731,27.73,81,20,5.14,US,1687737537
123,sabinas,27.85,-101.1167,39.84,20,0,7.91,MX,1687737537
124,zhosaly,45.4878,64.0781,22.22,26,29,3.4,KZ,1687737537
125,kwadukuza,-29.3282,31.2895,17.94,88,99,0.87,ZA,1687737537
126,atlantic beach,30.3344,-81.3987,31.14,63,0,4.63,US,1687737537
127,luderitz,-26.6481,15.1594,12.33,89,0,4.79,NA,1687737537
128,port elizabeth,-33.918,25.5701,14.16,87,100,5.66,ZA,1687737538
129,lyantor,61.6195,72.1555,7.68,83,63,2.42,RU,1687737538
130,dudinka,69.4058,86.1778,12.57,66,53,4.3,RU,1687737538
131,cabo san lucas,22.8909,-109.9124,32.56,71,2,4.08,MX,1687737538
132,uttar char fasson,22.2332,90.7132,27.12,87,100,8.26,BD,1687737538
133,selfoss,63.9331,-20.9971,8.36,94,100,3.45,IS,1687737538
134,tura,25.5198,90.2201,23.85,90,66,2.53,IN,1687737538
135,al kharj,24.155,47.3346,32.32,12,0,3.17,SA,1687737538
136,saipan,15.1355,145.701,28.39,100,75,5.66,MP,1687737539
137,menongue,-14.6585,17.691,9.37,52,0,1.88,AO,1687737539
138,lata,40.1629,-8.3327,19.9,92,84,0.69,PT,1687737539
139,atamanovka,51.93,113.63,17.24,62,1,2.41,RU,1687737539
140,hadibu,12.65,54.0333,26.01,81,84,11.42,YE,1687737539
141,minas de marcona,-15.2119,-75.1103,14.08,81,6,3.69,PE,1687737539
142,anadyr,64.75,177.4833,18.28,52,20,4.0,RU,1687737539
143,sheopur,25.6667,76.7,27.58,79,100,2.41,IN,1687737539
144,isafjordur,66.0755,-23.124,10.43,91,94,5.4,IS,1687737540
145,aasiaat,68.7098,-52.8699,2.94,81,12,2.92,GL,1687737540
146,nemuro,43.3236,145.575,14.49,93,81,4.09,JP,1687737540
147,antalaha,-14.9003,50.2788,19.66,81,5,3.88,MG,1687737540
148,kapa'a,22.0752,-159.319,30.18,60,40,7.72,US,1687737540
149,sittwe,20.15,92.9,26.44,87,100,1.92,MM,1687737540
150,khadan khak,30.7477,67.7085,21.49,64,62,1.62,PK,1687737542
151,kalmunai,7.4167,81.8167,26.69,74,96,1.19,LK,1687737542
152,nema,57.5067,50.5011,7.5,85,55,2.86,RU,1687737542
153,brookings,44.3114,-96.7984,22.32,74,100,7.2,US,1687737542
154,vorgashor,67.5833,63.95,11.3,75,60,2.1,RU,1687737542
155,iklehra,23.15,76.3833,25.77,82,100,5.53,IN,1687737543
156,zouerate,22.7187,-12.4521,29.42,18,0,3.96,MR,1687737543
157,invercargill,-46.4,168.35,10.24,89,100,1.91,NZ,1687737543
158,manismata,-2.4667,111.0333,24.55,85,55,0.66,ID,1687737543
159,ola,59.5833,151.2833,22.86,74,29,2.97,RU,1687737543
160,tughyl,47.7252,84.2063,13.08,68,98,4.36,KZ,1687737543
161,veraval,20.9,70.3667,27.9,81,100,7.09,IN,1687737544
162,codrington,-38.2667,141.9667,11.95,81,96,7.56,AU,1687737544
163,tommot,58.9564,126.2925,22.75,62,100,1.46,RU,1687737544
164,juan griego,11.0817,-63.9655,34.07,52,11,8.23,VE,1687737544
165,papatowai,-46.5619,169.4708,11.49,79,100,0.95,NZ,1687737545
166,sitka,57.0531,-135.33,12.94,88,100,4.63,US,1687737370
167,beltran,-27.8291,-64.061,19.79,77,2,0.81,AR,1687737545
168,utrik,11.2278,169.8474,28.21,76,61,7.76,MH,1687737545
169,isla vista,34.4133,-119.861,25.01,56,0,6.17,US,1687737545
170,nowshahr,36.649,51.496,19.97,88,0,1.03,IR,1687737545
171,new norfolk,-42.7826,147.0587,11.62,82,29,2.0,AU,1687737546
172,akrehamn,59.2667,5.1833,17.22,88,100,2.06,NO,1687737546
173,igarape miri,-1.975,-48.9597,26.23,76,99,1.25,BR,1687737362
174,ta`u,-14.2336,-169.5144,27.17,72,12,2.11,AS,1687737546
175,beyneu,45.3167,55.2,24.5,47,46,6.59,KZ,1687737546
176,tionk essil,12.7856,-16.5217,27.98,80,88,4.02,SN,1687737546
177,enewetak,11.3474,162.3373,28.26,80,100,8.77,MH,1687737546
178,chernyshevsk,52.5243,117.0174,19.98,71,89,2.96,RU,1687737547
179,kyshtovka,56.555,76.6271,9.54,86,58,0.92,RU,1687737547
180,keflavik,64.0049,-22.5624,9.24,93,100,8.75,IS,1687737547
181,garoowe,8.4054,48.4845,23.43,71,100,13.53,SO,1687737547
182,daru,-9.0763,143.2092,27.03,79,100,7.85,PG,1687737547
183,port blair,11.6667,92.75,27.94,82,100,5.25,IN,1687737547
184,abu zabad,12.35,29.25,25.43,65,95,6.52,SD,1687737547
185,argo,37.6333,22.7333,21.55,68,23,1.36,GR,1687737547
186,santa ana,33.7456,-117.8678,31.34,51,0,4.12,US,1687737456
187,luau,-10.7073,22.2247,13.63,47,1,1.95,AO,1687737548
188,farasan,16.7022,42.1183,31.03,70,87,2.2,SA,1687737548
189,bir el ater,34.7449,8.0602,22.91,52,0,6.84,DZ,1687737548
